============================================================
QUERIES SEARCHED LOG  |  2025-07-21 19:10:39
============================================================
Total Queries: 678

No.   Query                                                        Mode  
--------------------------------------------------------------------------------
1     Arizona house fire                                           top   
2     Arizona house fire                                           live  
3     Arizona apartment complex                                    top   
4     Arizona apartment complex                                    live  
5     Arizona store fire                                           top   
6     Arizona store fire                                           live  
7     Arizona commercial fire                                      top   
8     Arizona commercial fire                                      live  
9     Arizona restaurant fire                                      top   
10    Arizona restaurant fire                                      live  
11    Arizona warehouse fire                                       top   
12    Arizona warehouse fire                                       live  
13    Arizona business fire                                        top   
14    Arizona business fire                                        live  
15    Arizona pipe burst                                           top   
16    Arizona pipe burst                                           live  
17    Colorado house fire                                          top   
18    Colorado house fire                                          live  
19    Colorado apartment complex                                   top   
20    Colorado apartment complex                                   live  
21    Colorado store fire                                          top   
22    Colorado store fire                                          live  
23    Colorado commercial fire                                     top   
24    Colorado commercial fire                                     live  
25    Colorado restaurant fire                                     top   
26    Colorado restaurant fire                                     live  
27    Colorado warehouse fire                                      top   
28    Colorado warehouse fire                                      live  
29    Colorado business fire                                       top   
30    Colorado business fire                                       live  
31    Colorado pipe burst                                          top   
32    Colorado pipe burst                                          live  
33    Connecticut house fire                                       top   
34    Connecticut house fire                                       live  
35    Connecticut apartment complex                                top   
36    Connecticut apartment complex                                live  
37    Connecticut store fire                                       top   
38    Connecticut store fire                                       live  
39    Connecticut commercial fire                                  top   
40    Connecticut commercial fire                                  live  
41    Connecticut restaurant fire                                  top   
42    Connecticut restaurant fire                                  live  
43    Connecticut warehouse fire                                   top   
44    Connecticut warehouse fire                                   live  
45    Connecticut business fire                                    top   
46    Connecticut business fire                                    live  
47    Connecticut pipe burst                                       top   
48    Connecticut pipe burst                                       live  
49    Delaware house fire                                          top   
50    Delaware house fire                                          live  
51    Delaware apartment complex                                   top   
52    Delaware apartment complex                                   live  
53    Delaware store fire                                          top   
54    Delaware store fire                                          live  
55    Delaware commercial fire                                     top   
56    Delaware commercial fire                                     live  
57    Delaware restaurant fire                                     top   
58    Delaware restaurant fire                                     live  
59    Delaware warehouse fire                                      top   
60    Delaware warehouse fire                                      live  
61    Delaware business fire                                       top   
62    Delaware business fire                                       live  
63    Delaware pipe burst                                          top   
64    Delaware pipe burst                                          live  
65    Florida house fire                                           top   
66    Florida house fire                                           live  
67    Florida apartment complex                                    top   
68    Florida apartment complex                                    live  
69    Florida store fire                                           top   
70    Florida store fire                                           live  
71    Florida commercial fire                                      top   
72    Florida commercial fire                                      live  
73    Florida restaurant fire                                      top   
74    Florida restaurant fire                                      live  
75    Florida warehouse fire                                       top   
76    Florida warehouse fire                                       live  
77    Florida business fire                                        top   
78    Florida business fire                                        live  
79    Florida pipe burst                                           top   
80    Florida pipe burst                                           live  
81    Georgia house fire                                           top   
82    Georgia house fire                                           live  
83    Georgia apartment complex                                    top   
84    Georgia apartment complex                                    live  
85    Georgia store fire                                           top   
86    Georgia store fire                                           live  
87    Georgia commercial fire                                      top   
88    Georgia commercial fire                                      live  
89    Georgia restaurant fire                                      top   
90    Georgia restaurant fire                                      live  
91    Georgia warehouse fire                                       top   
92    Georgia warehouse fire                                       live  
93    Georgia business fire                                        top   
94    Georgia business fire                                        live  
95    Georgia pipe burst                                           top   
96    Georgia pipe burst                                           live  
97    Idaho house fire                                             top   
98    Idaho house fire                                             live  
99    Idaho apartment complex                                      top   
100   Idaho apartment complex                                      live  
101   Idaho store fire                                             top   
102   Idaho store fire                                             live  
103   Idaho commercial fire                                        top   
104   Idaho commercial fire                                        live  
105   Idaho restaurant fire                                        top   
106   Idaho restaurant fire                                        live  
107   Idaho warehouse fire                                         top   
108   Idaho warehouse fire                                         live  
109   Idaho business fire                                          top   
110   Idaho business fire                                          live  
111   Idaho pipe burst                                             top   
112   Idaho pipe burst                                             live  
113   Indiana house fire                                           top   
114   Indiana house fire                                           live  
115   Indiana apartment complex                                    top   
116   Indiana apartment complex                                    live  
117   Indiana store fire                                           top   
118   Indiana store fire                                           live  
119   Indiana commercial fire                                      top   
120   Indiana commercial fire                                      live  
121   Indiana restaurant fire                                      top   
122   Indiana restaurant fire                                      live  
123   Indiana warehouse fire                                       top   
124   Indiana warehouse fire                                       live  
125   Indiana business fire                                        top   
126   Indiana business fire                                        live  
127   Indiana pipe burst                                           top   
128   Indiana pipe burst                                           live  
129   Iowa house fire                                              top   
130   Iowa house fire                                              live  
131   Iowa apartment complex                                       top   
132   Iowa apartment complex                                       live  
133   Iowa store fire                                              top   
134   Iowa store fire                                              live  
135   Iowa commercial fire                                         top   
136   Iowa commercial fire                                         live  
137   Iowa restaurant fire                                         top   
138   Iowa restaurant fire                                         live  
139   Iowa warehouse fire                                          top   
140   Iowa warehouse fire                                          live  
141   Iowa business fire                                           top   
142   Iowa business fire                                           live  
143   Iowa pipe burst                                              top   
144   Iowa pipe burst                                              live  
145   Kansas house fire                                            top   
146   Kansas house fire                                            live  
147   Kansas apartment complex                                     top   
148   Kansas apartment complex                                     live  
149   Kansas store fire                                            top   
150   Kansas store fire                                            live  
151   Kansas commercial fire                                       top   
152   Kansas commercial fire                                       live  
153   Kansas restaurant fire                                       top   
154   Kansas restaurant fire                                       live  
155   Kansas warehouse fire                                        top   
156   Kansas warehouse fire                                        live  
157   Kansas business fire                                         top   
158   Kansas business fire                                         live  
159   Kansas pipe burst                                            top   
160   Kansas pipe burst                                            live  
161   Kentucky house fire                                          top   
162   Kentucky house fire                                          live  
163   Kentucky apartment complex                                   top   
164   Kentucky apartment complex                                   live  
165   Kentucky store fire                                          top   
166   Kentucky store fire                                          live  
167   Kentucky commercial fire                                     top   
168   Kentucky commercial fire                                     live  
169   Kentucky restaurant fire                                     top   
170   Kentucky restaurant fire                                     live  
171   Kentucky warehouse fire                                      top   
172   Kentucky warehouse fire                                      live  
173   Kentucky business fire                                       top   
174   Kentucky business fire                                       live  
175   Kentucky pipe burst                                          top   
176   Kentucky pipe burst                                          live  
177   Louisiana house fire                                         top   
178   Louisiana house fire                                         live  
179   Louisiana apartment complex                                  top   
180   Louisiana apartment complex                                  live  
181   Louisiana store fire                                         top   
182   Louisiana store fire                                         live  
183   Louisiana commercial fire                                    top   
184   Louisiana commercial fire                                    live  
185   Louisiana restaurant fire                                    top   
186   Louisiana restaurant fire                                    live  
187   Louisiana warehouse fire                                     top   
188   Louisiana warehouse fire                                     live  
189   Louisiana business fire                                      top   
190   Louisiana business fire                                      live  
191   Louisiana pipe burst                                         top   
192   Louisiana pipe burst                                         live  
193   Maine house fire                                             top   
194   Maine house fire                                             live  
195   Maine apartment complex                                      top   
196   Maine apartment complex                                      live  
197   Maine store fire                                             top   
198   Maine store fire                                             live  
199   Maine commercial fire                                        top   
200   Maine commercial fire                                        live  
201   Maine restaurant fire                                        top   
202   Maine restaurant fire                                        live  
203   Maine warehouse fire                                         top   
204   Maine warehouse fire                                         live  
205   Maine business fire                                          top   
206   Maine business fire                                          live  
207   Maine pipe burst                                             top   
208   Maine pipe burst                                             live  
209   Maryland house fire                                          top   
210   Maryland house fire                                          live  
211   Maryland apartment complex                                   top   
212   Maryland apartment complex                                   live  
213   Maryland store fire                                          top   
214   Maryland store fire                                          live  
215   Maryland commercial fire                                     top   
216   Maryland commercial fire                                     live  
217   Maryland restaurant fire                                     top   
218   Maryland restaurant fire                                     live  
219   Maryland warehouse fire                                      top   
220   Maryland warehouse fire                                      live  
221   Maryland business fire                                       top   
222   Maryland business fire                                       live  
223   Maryland pipe burst                                          top   
224   Maryland pipe burst                                          live  
225   Michigan house fire                                          top   
226   Michigan house fire                                          live  
227   Michigan apartment complex                                   top   
228   Michigan apartment complex                                   live  
229   Michigan store fire                                          top   
230   Michigan store fire                                          live  
231   Michigan commercial fire                                     top   
232   Michigan commercial fire                                     live  
